track_id,name,artists,album,album_type,album_total_tracks,album_release_date,popularity,duration_ms,explicit,available_markets,spotify_link,emotion,artist_popularity,artist_followers,artist_genres,num_artists,is_collaboration,avg_artist_popularity
3I8jlSupP2k0v7SXaZzP2C,Time,Atlas,Time,single,1,9/2/2022,13,149791,FALSE,185,https://open.spotify.com/track/3I8jlSupP2k0v7SXaZzP2C,love,15,265,,1,FALSE,15
5Ot9dlu6Qm1CPOndwyJOWc,Inner Place,Sylvain Millepied,Neverwhere,album,14,7/24/2020,16,178209,FALSE,185,https://open.spotify.com/track/5Ot9dlu6Qm1CPOndwyJOWc,love,27,14368,,1,FALSE,27
0MEnTuaWiy4Um1zhYDXFJa,The Gift,Adrian Zaharia,The Gift,single,1,11/9/2023,19,164077,FALSE,185,https://open.spotify.com/track/0MEnTuaWiy4Um1zhYDXFJa,love,32,903,,1,FALSE,32
6AUaBfrOhpmTpDut3vSgpq,Loneliness,Martin Czerny,Sad Cello & Piano Collection,album,15,12/6/2019,40,220000,FALSE,185,https://open.spotify.com/track/6AUaBfrOhpmTpDut3vSgpq,love,55,16647,,1,FALSE,55
3d1UiwMljSDNJT046fP8GV,Slowly Breaking Free,"Anna Simonetta, Mirjam Mudde",White Shepherd,album,9,10/7/2022,19,305716,FALSE,185,https://open.spotify.com/track/3d1UiwMljSDNJT046fP8GV,love,40,2067,neoclassical,2,TRUE,23.5
3vYHe3drLZ8Qwmdq8yIQqm,Fairytale,Sabr Alptekin,Fairytale,single,1,11/21/2021,15,172000,FALSE,185,https://open.spotify.com/track/3vYHe3drLZ8Qwmdq8yIQqm,love,25,1127,,1,FALSE,25
05Ni15WWdA7YYefmejMJMp,Heartbreak,Martin Czerny,Sad Cello & Piano Collection,album,15,12/6/2019,31,212500,FALSE,185,https://open.spotify.com/track/05Ni15WWdA7YYefmejMJMp,love,55,16647,,1,FALSE,55
17wIqp7qIl1aQvQzYkwD8C,Our Love,David Tolk,Our Love,single,1,5/27/2022,19,232578,FALSE,185,https://open.spotify.com/track/17wIqp7qIl1aQvQzYkwD8C,love,48,28845,,1,FALSE,48
3a4FvVCGPjJ5Nyj40QUsSa,Lunar,Benjamin Cook,Lunar,single,1,6/3/2022,21,209573,FALSE,185,https://open.spotify.com/track/3a4FvVCGPjJ5Nyj40QUsSa,love,24,2205,,1,FALSE,24
5pSxOv6lbvdz2fddSUPdSA,Song From A Secret Garden,Secret Garden,Songs From A Secret Garden,album,13,1/1/1995,61,214786,FALSE,184,https://open.spotify.com/track/5pSxOv6lbvdz2fddSUPdSA,love,57,286116,"new age,celtic",1,FALSE,57
10ED6gy7uZHJnaQQVocMtZ,The Mourner of a Forgotten Past,Theodosius Bates,The Mourner of a Forgotten Past,single,1,6/18/2020,17,167440,FALSE,185,https://open.spotify.com/track/10ED6gy7uZHJnaQQVocMtZ,love,15,291,,1,FALSE,15
4mgAVdB2KJL13N7BzWmBlu,Like the Birds,"Anna Simonetta, Mirjam Mudde",White Shepherd,album,9,10/7/2022,15,270804,FALSE,185,https://open.spotify.com/track/4mgAVdB2KJL13N7BzWmBlu,love,40,2067,neoclassical,2,TRUE,23.5
4OPHckDiipgPKldOrnGSfx,Assumption,Adrian Zaharia,Assumption,single,1,12/3/2021,14,237470,FALSE,185,https://open.spotify.com/track/4OPHckDiipgPKldOrnGSfx,love,32,903,,1,FALSE,32
63OtqTaYKkJec8sGab9Nne,Lover's Leap,"Marc Enfroy, Sharon Enfroy",Surrounded,album,11,12/6/2019,14,142933,FALSE,185,https://open.spotify.com/track/63OtqTaYKkJec8sGab9Nne,love,31,3078,new age,2,TRUE,24
3UW499ZtaKRQaBbTJz300h,River Runs Through,Sharon Chen,River Runs Through,single,1,2/27/2020,0,145977,FALSE,0,https://open.spotify.com/track/3UW499ZtaKRQaBbTJz300h,love,38,2756,,1,FALSE,38
5w7DhMN78tAvYvT1IDn0eN,Fly to me,Fabio D'amato,Fly to me,single,1,7/12/2024,17,237500,FALSE,185,https://open.spotify.com/track/5w7DhMN78tAvYvT1IDn0eN,love,20,3539,,1,FALSE,20
1F4kUvzl9JWoWpA6tMuEJX,Winter Wonderland,Andrés Martín,Originals for TV and More,album,37,2/17/2021,0,173604,FALSE,0,https://open.spotify.com/track/1F4kUvzl9JWoWpA6tMuEJX,love,42,1568,,1,FALSE,42
68s2GazP5RrkC5KIjjvBFT,"The Carnival of the Animals, R. 125: VIII. The Swan","Camille Saint-Saëns, Eva Brönner, Rudolf Ramming",Cello Dreams,album,8,3/24/2007,20,190533,FALSE,185,https://open.spotify.com/track/68s2GazP5RrkC5KIjjvBFT,love,66,440457,classical,3,TRUE,42
5JHeYdVdncI1geI2Nly8ye,Freedom,Benjamin Cook,Freedom,single,1,8/23/2024,27,179573,FALSE,185,https://open.spotify.com/track/5JHeYdVdncI1geI2Nly8ye,love,24,2205,,1,FALSE,24
3d715UDIklSpLtPYYQwdWd,Nice (Piano & Cello),"Ronan Spoor, Eva Brönner, RonArt",Nice (Piano & Cello),single,1,11/29/2024,20,108000,FALSE,185,https://open.spotify.com/track/3d715UDIklSpLtPYYQwdWd,love,30,463,,3,TRUE,30
2s1T5piD9YMCSUBgXfJjto,Late Night Minuet,Mindy Chuang,Late Night Minuet,single,1,9/2/2022,20,84598,FALSE,185,https://open.spotify.com/track/2s1T5piD9YMCSUBgXfJjto,love,40,2304,new age,1,FALSE,40
6DhIgmt4To6OzqFAkgnISJ,How Would I Know?,"Jordi Forniés, Štěpán Švestka",Hela Nokto,album,13,4/5/2024,16,227537,FALSE,183,https://open.spotify.com/track/6DhIgmt4To6OzqFAkgnISJ,love,40,47369,neoclassical,2,TRUE,28.5
6tFHZd1Lxj7xwtLVFDx4BC,Love Me,Martin Czerny,Sad Cello & Piano XXI,album,12,8/27/2021,21,115093,FALSE,185,https://open.spotify.com/track/6tFHZd1Lxj7xwtLVFDx4BC,love,55,16647,,1,FALSE,55
1k1cpdJg3KUHu57i69QpXn,Never surrender,Adrian Zaharia,Never surrender,single,1,2/16/2024,17,178150,FALSE,185,https://open.spotify.com/track/1k1cpdJg3KUHu57i69QpXn,love,32,903,,1,FALSE,32
21VE1zbmt4LmPopwgpLj2M,Mamas Rosengarten,Sabr Alptekin,Mamas Rosengarten,single,1,4/21/2021,17,165750,FALSE,185,https://open.spotify.com/track/21VE1zbmt4LmPopwgpLj2M,love,25,1127,,1,FALSE,25
5oCdHMjXqvxKsaQfQfusiI,I Am My Castle,Igor Ferreira,I Am My Castle,single,1,6/3/2022,0,223370,FALSE,0,https://open.spotify.com/track/5oCdHMjXqvxKsaQfQfusiI,love,28,1301,,1,FALSE,28
03Js2f5t6j6ic0dLa2D64m,Infinity (Strings),"Javi Lobe, Fransoafran",Infinity (Strings),single,1,12/11/2020,0,166750,FALSE,0,https://open.spotify.com/track/03Js2f5t6j6ic0dLa2D64m,love,51,7636,,2,TRUE,25.5
23u9Bp7vMliIYxRmeVtW6N,Breeze,Rabelius,Breeze,single,1,11/6/2025,28,177704,FALSE,185,https://open.spotify.com/track/23u9Bp7vMliIYxRmeVtW6N,love,33,959,,1,FALSE,33
07iJqmmv4jSfygXwakUKAo,Sunset by the River,"Dennis Korn, Mara Kochendörfer",Sunset by the River,single,2,7/16/2022,14,148000,FALSE,185,https://open.spotify.com/track/07iJqmmv4jSfygXwakUKAo,love,50,10659,,2,TRUE,30.5
6dqt4w3YnQumN2NJf8WMS5,Starlight,Julia Thomsen,Sea Energise,single,6,8/3/2020,29,127943,FALSE,185,https://open.spotify.com/track/6dqt4w3YnQumN2NJf8WMS5,love,38,5459,neoclassical,1,FALSE,38
0LMWAtI8sGcfBcK0EpaL5u,The Dance,"Marc Enfroy, Sharon Enfroy",The Dance,single,1,1/14/2022,18,212481,FALSE,185,https://open.spotify.com/track/0LMWAtI8sGcfBcK0EpaL5u,love,31,3078,new age,2,TRUE,24
4ziaMUhi9P2svadlMgW3kF,Desert Serenade,Sharon Chen,Desert Serenade,single,1,2/1/2020,0,274609,FALSE,0,https://open.spotify.com/track/4ziaMUhi9P2svadlMgW3kF,love,38,2756,,1,FALSE,38
5kojqeGEIdnwhpAglLO30z,The Seas,Atlas,The Seas,single,1,9/9/2022,13,135500,FALSE,185,https://open.spotify.com/track/5kojqeGEIdnwhpAglLO30z,love,15,265,,1,FALSE,15
3XZRGUWqGvS2iIJjqtBHl7,Like No One Else,Kiann,Live from Vienna,album,10,12/25/2020,14,341016,FALSE,185,https://open.spotify.com/track/3XZRGUWqGvS2iIJjqtBHl7,love,21,487,,1,FALSE,21
5fWed3UiBtdwYMzIaEZAgs,Read Me a Sad Story - Strings Version,Cristian Vivaldi,Read Me a Sad Story,single,2,12/15/2023,16,119757,FALSE,185,https://open.spotify.com/track/5fWed3UiBtdwYMzIaEZAgs,love,45,2373,,1,FALSE,45
4hikOhJmf28TpkoBq20id3,The Walk,"David Goitia Martín, Rabelius",The Walk,single,1,4/8/2022,13,149758,FALSE,185,https://open.spotify.com/track/4hikOhJmf28TpkoBq20id3,love,5,80,,2,TRUE,19
5Y6BumIvt98yuGg59q7U6c,Hearthside,"Fransoafran, Francois Mathian",Hearthside,single,1,1/27/2020,22,176493,FALSE,185,https://open.spotify.com/track/5Y6BumIvt98yuGg59q7U6c,love,18,1521,,2,TRUE,28
47VRUbqZoYFfdmvU3W6uex,Prayer,"David Bertok, Eva Brönner",Prayer,single,1,2/10/2023,20,221525,FALSE,185,https://open.spotify.com/track/47VRUbqZoYFfdmvU3W6uex,love,20,365,,2,TRUE,29
11a3blo9jiwjBsumMnmiHR,Radial Blur,Martin Czerny,Radial Blur,single,1,2/12/2021,0,102000,FALSE,0,https://open.spotify.com/track/11a3blo9jiwjBsumMnmiHR,love,55,16647,,1,FALSE,55
3GZOs7QBjDmqCVDNdhyoqt,Yearn,Benjamin Cook,Yearn,single,1,10/11/2024,18,141853,FALSE,185,https://open.spotify.com/track/3GZOs7QBjDmqCVDNdhyoqt,love,24,2205,,1,FALSE,24
4nyal7ZLFITC5ehZq3sHvM,Over There,Sylvain Millepied,Neverwhere,album,14,7/24/2020,16,197142,FALSE,185,https://open.spotify.com/track/4nyal7ZLFITC5ehZq3sHvM,love,27,14368,,1,FALSE,27
4TYHk7CtNCXFNGjEBsPMlU,Im Feuer,Sabr Alptekin,Selbstlos,album,8,12/16/2020,14,320000,FALSE,185,https://open.spotify.com/track/4TYHk7CtNCXFNGjEBsPMlU,love,25,1127,,1,FALSE,25
4yYtYJ9SXDm0dPZQox5rQn,Dramatic Journey,"Ronan Spoor, RonArt",Dramatic Journey,single,1,3/24/2023,0,218874,FALSE,0,https://open.spotify.com/track/4yYtYJ9SXDm0dPZQox5rQn,love,30,463,,2,TRUE,26
5yktSa2KrzuUFW8yXDigyt,Iryna,Fabio D'amato,Iryna,single,1,10/10/2025,15,66005,FALSE,183,https://open.spotify.com/track/5yktSa2KrzuUFW8yXDigyt,love,20,3539,,1,FALSE,20
0z6giLdv9IPisPxdOjiBVk,Another Chance,Anté Svircic,Another Chance,single,2,12/17/2021,0,180500,FALSE,0,https://open.spotify.com/track/0z6giLdv9IPisPxdOjiBVk,love,34,5841,,1,FALSE,34
3dkMLX2QFAa4wv5wsR5vQm,Thoughts on a Still Night,Sharon Chen,Thoughts on a Still Night,single,1,10/27/2023,27,210421,FALSE,185,https://open.spotify.com/track/3dkMLX2QFAa4wv5wsR5vQm,love,38,2756,,1,FALSE,38
0DLbA5VaavtSDYGK2XoSk6,Blended,Julia Thomsen,Sea Energise,single,6,8/3/2020,22,150840,FALSE,185,https://open.spotify.com/track/0DLbA5VaavtSDYGK2XoSk6,love,38,5459,neoclassical,1,FALSE,38
4FRzVRMtpzCWQdiIIKOeBN,Romance for Viola,"Peter Cavallo, Joni Fuller",Romance for Viola,single,1,10/18/2019,0,201737,FALSE,0,https://open.spotify.com/track/4FRzVRMtpzCWQdiIIKOeBN,love,45,9138,neoclassical,2,TRUE,41
1KqVHeomHMB4C7vdZnt1ih,I Don't Know,Martin Czerny,Sad Cello & Piano XVII,album,12,6/11/2021,22,123500,FALSE,185,https://open.spotify.com/track/1KqVHeomHMB4C7vdZnt1ih,love,55,16647,,1,FALSE,55
6fJ6DWzMzX0ZD1cT5wGzA5,Opening,"Eduardo Gutiérrez, Rabelius",Opening,single,1,8/2/2024,20,200759,FALSE,185,https://open.spotify.com/track/6fJ6DWzMzX0ZD1cT5wGzA5,love,19,522,,2,TRUE,26
3OJDf5YSCHfXYLuyvTpcEr,The Prayer,"David Goitia Martín, Rabelius",The Prayer,single,1,5/27/2022,13,211649,FALSE,185,https://open.spotify.com/track/3OJDf5YSCHfXYLuyvTpcEr,love,5,80,,2,TRUE,19
5GeEqzxZsC8430xO9Rk3lH,Life n°4,Guido Gavazzi,Life n°4,single,1,5/8/2023,14,212224,FALSE,185,https://open.spotify.com/track/5GeEqzxZsC8430xO9Rk3lH,love,18,914,,1,FALSE,18
5tELSYgu66yamAWvo44wHw,Beyond the Clouds,"Sharon Chen, Adam4le",Blissful and Beyond,album,8,10/1/2024,18,275680,FALSE,185,https://open.spotify.com/track/5tELSYgu66yamAWvo44wHw,love,38,2756,,2,TRUE,30
6vQG98jKVXQ1FohQNejzlF,Luminous Island,Riccardo Pietri,Luminous Island,single,1,6/11/2021,35,167741,FALSE,185,https://open.spotify.com/track/6vQG98jKVXQ1FohQNejzlF,love,42,2576,,1,FALSE,42
2XZ9VMVPQTM3hfBlHq6oHc,Storm,Adrian Zaharia,Storm,single,1,5/10/2024,16,207041,FALSE,185,https://open.spotify.com/track/2XZ9VMVPQTM3hfBlHq6oHc,love,32,903,,1,FALSE,32
7DNIcjvxG2qk5cGweW3Tkj,Flying - Piano & Strings,Rabelius,Flying,single,2,11/11/2022,13,227957,FALSE,184,https://open.spotify.com/track/7DNIcjvxG2qk5cGweW3Tkj,love,33,959,,1,FALSE,33
5rOBOG2CXy15wVt1mELHbv,Parallel,Mindy Chuang,Parallel,single,2,10/20/2023,21,140325,FALSE,185,https://open.spotify.com/track/5rOBOG2CXy15wVt1mELHbv,love,40,2304,new age,1,FALSE,40
6IL9CmEyEVlKbYJWUhXRpI,Where Are You Christmas,Jade Ashtangini,Where Are You Christmas,single,1,11/29/2024,21,224368,FALSE,185,https://open.spotify.com/track/6IL9CmEyEVlKbYJWUhXRpI,love,36,13170,,1,FALSE,36
