word,kendall_corr
megan,0.018339386399505168
happier,0.018339386399505168
esper,0.018339386399505168
niego,0.018339386399505168
ozuna,0.018339386399505168
pavements,0.018339386399505168
oriley,0.018339386399505168
robarte,0.018339386399505168
disfruto,0.018339386399505168
mary,0.01823332796960973
feelings,0.018208989775323984
miles,0.0181976087187874
lifetime,0.018164285819081992
chameleon,0.01815625125085496
yellow,0.01810573667706587
intentions,0.018075291123217485
whats,0.018042660582767833
love,0.01804141805654282
skidamarink,0.018036999406218116
goode,0.017994661091243792
johnny,0.017994661091243792
jamboo,0.017994661091243792
drugs,0.017994661091243792
emotion,0.017994661091243792
chiquitita,0.017994661091243792
deluxe,0.017994661091243792
joker,0.017994661091243792
1983,0.017994661091243792
jets,0.017994661091243792
coco,0.017994661091243792
eden,0.017994661091243792
lion,0.017942354632739792
apt,0.01793088253898484
pie,0.017927747285336856
clocks,0.017856313929577677
hell,0.017674814991827204
mario,0.017674269334153808
damn,0.017674269334153808
mariposa,0.017674269334153808
destino,0.017674269334153808
jessies,0.017674269334153808
jah,0.017674269334153808
hay,0.017674269334153808
dayo,0.017674269334153808
graduate,0.017674269334153808
exs,0.017674269334153808
oddity,0.017674269334153808
existed,0.017674269334153808
casualidad,0.017674269334153808
forgot,0.017674269334153808
llorar,0.017674269334153808
parado,0.017674269334153808
remasterizado,0.017674269334153808
domm,0.017674269334153808
2004,0.01765699692539877
vie,0.01757811565602017
dance,0.017551775045505043
2015,0.017452394789672223
cool,0.01744809610819852
piano,0.017415014613624658
teri,0.017385958085624778
chasing,0.017325513832303078
quererte,0.017321432842168635
canciones,0.017321432842168635
habit,0.017321432842168635
coleccionista,0.017321432842168635
collins,0.017321432842168635
kunta,0.017321432842168635
cardi,0.017321432842168635
duke,0.017321432842168635
ecos,0.017321432842168635
loser,0.017321432842168635
paws,0.017321432842168635
disease,0.017321432842168635
1035,0.017321432842168635
sean,0.017265501101197817
believer,0.01725402900744287
amar,0.017194712027294997
look,0.017166211595010153
theres,0.01711923190582222
linger,0.0170790795776799
la,0.01701647128742234
que,0.017011746036734197
kingston,0.01700509667694055
princes,0.01700509667694055
grande,0.01700509667694055
qu,0.01700509667694055
rainbowwhat,0.01700509667694055
ed,0.01700509667694055
encontr,0.01700509667694055
diane,0.01700509667694055
dreamworks,0.01700509667694055
juke,0.01700509667694055
knife,0.01700509667694055
kokomo,0.01700509667694055
dead,0.016969883321953084
dan,0.016944282476059253
tainted,0.016854015377427534
clap,0.016826693515071028
eye,0.01675442247933375
para,0.016752124905663864
fever,0.016729167625244172
demi,0.016656315776817275
despacito,0.016656315776817275
closing,0.016656315776817275
lightenup,0.016656315776817275
leven,0.016656315776817275
lovato,0.016656315776817275
laxed,0.016656315776817275
perch,0.016656315776817275
ft,0.016656315776817275
crashes,0.016656315776817275
cave,0.016656315776817275
jerk,0.016656315776817275
nokia,0.016656315776817275
medusa,0.016656315776817275
hakuna,0.016656315776817275
1978,0.016656315776817275
chunky,0.016656315776817275
matata,0.016656315776817275
mercy,0.016656315776817275
ca,0.016656315776817275
ex,0.016656315776817275
kali,0.016656315776817275
doy,0.016656315776817275
motto,0.016656315776817275
woman,0.016625014928941893
spotify,0.016597251639972055
lay,0.016520225911269257
samba,0.016424329264693727
lover,0.016308374489651868
hey,0.01629804850152291
conor,0.016295368101108307
kilmetros,0.016295368101108307
goodie,0.016295368101108307
fingers,0.016295368101108307
feldt,0.016295368101108307
maynard,0.016295368101108307
centerfold,0.016295368101108307
grass,0.016295368101108307
mirror,0.016295368101108307
jude,0.016295368101108307
manos,0.016295368101108307
khalid,0.016295368101108307
creo,0.016295368101108307
non,0.01619572835854885
insanity,0.016144103936651583
virtual,0.016144103936651583
birthday,0.016113647630073936
magician,0.01607240335068315
ladies,0.016006438811592194
heart,0.01599427542530567
cover,0.015942531609123133
jxl,0.015942531609123133
caplen,0.015942531609123133
guas,0.015942531609123133
maro,0.015942531609123133
pnau,0.015942531609123133
macklemore,0.015942531609123133
chawki,0.015942531609123133
elastic,0.015942531609123133
labios,0.015942531609123133
robbers,0.015942531609123133
compartidos,0.015942531609123133
iko,0.015942531609123133
unforgettable,0.015913656799982225
york,0.015828621358390492
die,0.015811457073270186
follow,0.01575987883987855
big,0.015742893368584625
change,0.015733976584912164
dancer,0.01570212693530939
speed,0.015699560303647317
tiny,0.015642199834872573
smile,0.015629665761784504
burn,0.015620531444956728
bien,0.015608574838043673
fake,0.015602047506730254
nikko,0.015599728448026763
peaches,0.01550858327989999
julio,0.01550858327989999
dices,0.01550858327989999
grief,0.01550858327989999
rien,0.01550858327989999
ne,0.01550858327989999
heavens,0.01550858327989999
jeremih,0.01550858327989999
jamy,0.01550858327989999
carpet,0.01550858327989999
regrette,0.01550858327989999
levi,0.01550858327989999
padam,0.01550858327989999
ontario,0.01550858327989999
kasam,0.01550858327989999
kings,0.01550858327989999
latch,0.01550858327989999
kaiju,0.01550858327989999
crystalised,0.01550858327989999
ralphsoundtrack,0.01550858327989999
enamor,0.01550858327989999
hooked,0.01550858327989999
ending,0.01550858327989999
harper,0.01550858327989999
hills,0.01550858327989999
jailhouse,0.01550858327989999
nox,0.01550858327989999
candle,0.01550858327989999
opendoors,0.01550858327989999
messy,0.015490927360382005
sexual,0.015346793420682646
stone,0.015343925397243907
want,0.015333741393294055
stressed,0.015332453303488959
borderline,0.015275092834714217
version,0.01522453626455459
hymn,0.01520912829562326
bridge,0.015196808666227836
supernatural,0.015128823639338618
power,0.015090857318124443
longview,0.015090857318124443
longest,0.015090857318124443
lisa,0.015090857318124443
jacket,0.015090857318124443
fat,0.015090857318124443
gorilla,0.015090857318124443
heres,0.015090857318124443
cradle,0.015090857318124443
tear,0.014999762584595445
slippery,0.014994026537717971
lovin,0.014914713494894215
shining,0.014896604757711854
bag,0.014870701529852273
seeb,0.014796132920445106
clearly,0.01477780344486944
way,0.014694168249611362
llor,0.01468124254007269
yebbas,0.01468124254007269
baa,0.01468124254007269
estrategia,0.01468124254007269
estoy,0.01468124254007269
firebird,0.01468124254007269
makeba,0.01468124254007269
depressed,0.01468124254007269
pass,0.01468124254007269
foot,0.01468124254007269
pela,0.01468124254007269
fondo,0.01468124254007269
ipanema,0.01468124254007269
janeiro,0.01468124254007269
olhos,0.01468124254007269
heartbreak,0.01468124254007269
capsize,0.01468124254007269
daydreaming,0.01468124254007269
gua,0.01468124254007269
ro,0.01468124254007269
dutchie,0.01468124254007269
kahani,0.01468124254007269
kinda,0.01468124254007269
youve,0.01466333820717579
paradise,0.014620421176394203
shine,0.014592788156098489
crocodile,0.014523670693765076
mystery,0.014469178248429068
built,0.014469178248429068
row,0.014465356912307378
chris,0.01438600556870569
va,0.014351565690992064
west,0.014346881759630774
energy,0.014231071843401954
clever,0.014231071843401954
helplessly,0.014231071843401954
hoping,0.014231071843401954
digas,0.014231071843401954
olvid,0.014231071843401954
caminar,0.014231071843401954
older,0.014231071843401954
mess,0.014231071843401954
fonseca,0.014231071843401954
favorita,0.014231071843401954
pinball,0.014231071843401954
1995,0.014231071843401954
feelslikeimfallinginlove,0.014231071843401954
coldplay,0.014231071843401954
