word,pearson_corr
online,0.016928556476620137
flume,0.01692855647662013
depressed,0.01692855647662013
pine,0.016928556476620126
raat,0.016928556476620123
mujhe,0.016928556476620123
solas,0.016928556476620123
peene,0.016928556476620123
fuze,0.01692855647662012
smallest,0.016928556476620116
lived,0.016928556476620116
canope,0.016928556476620112
passed,0.016928556476620112
distorted,0.01692855647662011
lakes,0.01692855647662011
metropolis,0.01692855647662011
wedding,0.016877953753289446
stronger,0.016877953753289432
heat,0.016770592321267232
moon,0.016565667701564098
dust,0.016525669694086687
exile,0.01646236344123172
sweater,0.01646236344123168
hallway,0.016340881808959963
meteor,0.01634088180895995
ivory,0.01634088180895995
hinoki,0.01634088180895995
shower,0.01634088180895995
desires,0.016340881808959946
brian,0.016340881808959942
lining,0.016340881808959932
monstre,0.016340881808959932
extrait,0.016340881808959932
seine,0.016340881808959932
proof,0.01634088180895992
shooting,0.016340881808959918
gospel,0.016340881808959918
soccer,0.016340881808959918
practice,0.016340881808959918
bwv,0.016340881808959914
1007,0.016340881808959914
spectre,0.016340881808959914
rio,0.01634088180895991
chicks,0.016340881808959908
knives,0.016340881808959908
beving,0.016340881808959908
lovelies,0.016340881808959894
1950,0.016340881808959894
intermission,0.016340881808959894
years,0.01611672719229562
indigo,0.01609186828058297
pieces,0.016046773129173995
swift,0.01604677312917389
pretty,0.016002347129354236
jools,0.015937818609351038
holland,0.015937818609351038
wonder,0.015783166342654302
game,0.015783166342654253
dorothea,0.015753207141299727
punisher,0.015753207141299727
intolewd,0.015753207141299727
femme,0.01575320714129972
nyc,0.01575320714129972
nomad,0.01575320714129972
fatale,0.01575320714129972
roseblood,0.01575320714129972
spotify,0.01575320714129972
coaster,0.015753207141299713
burning,0.015753207141299713
pillowtalk,0.015753207141299706
pt1,0.0157532071412997
ohne,0.015753207141299692
rewrite,0.015753207141299692
camden,0.015753207141299692
dich,0.015753207141299692
sebastian,0.015753207141299692
rosala,0.015753207141299685
farm,0.015753207141299685
cocaine,0.015753207141299685
casino143,0.015753207141299685
rexha,0.015753207141299685
olvidar,0.015753207141299685
bebe,0.015753207141299685
redlight,0.015753207141299685
rooftop,0.015753207141299682
lil,0.015752506260240873
sound,0.015752506260240856
ex,0.015643893066983244
interstellar,0.015643893066983234
projector,0.015643893066983227
pluto,0.015643893066983227
moi,0.015631182817116184
shades,0.015631182817116177
deluxe,0.01563118281711617
edition,0.01563118281711617
gymnopdie,0.015413144239898733
wisp,0.015215592505058504
sings,0.015215592505058504
answer,0.015215592505058441
infinity,0.015215592505058415
lookalike,0.015165532473639541
evermore,0.01516553247363952
crime,0.015165532473639515
haim,0.015165532473639515
marjorie,0.015165532473639514
origami,0.015165532473639507
block,0.015165532473639505
briston,0.015165532473639502
saved,0.0151655324736395
monologue,0.015165532473639495
14th,0.015165532473639493
gnossienne,0.015165532473639493
fan,0.015165532473639491
youngblood,0.015165532473639491
raw,0.015165532473639491
devours,0.015165532473639484
connecticut,0.015165532473639484
quick,0.015165532473639484
goner,0.01516553247363948
haven,0.01516553247363948
goodnight,0.015165532473639479
dad,0.015165532473639479
dumbledores,0.015165532473639477
laroi,0.015165532473639474
cats,0.015165532473639472
purpose,0.01516553247363947
pool,0.015165532473639467
erich,0.01516553247363946
lee,0.01516553247363946
boy,0.015139763426884079
champagne,0.015073782219556632
lot,0.015056041982247694
mom,0.014994402407489192
beckon,0.014800002193000681
forwards,0.014800002193000681
rebound,0.014800002193000681
poison,0.01480000219300066
luna,0.014800002193000658
bites,0.01480000219300065
adore,0.014762116439879952
snowfall,0.01476211643987993
asleep,0.014731481095767487
studio,0.014602906207125897
know,0.014578138919377346
series,0.01457785780597931
hbo,0.01457785780597931
euphoria,0.01457785780597931
georgia,0.014577857805979304
icu,0.014577857805979297
sleeves,0.01457785780597929
powfu,0.014577857805979281
lift,0.014577857805979281
benjamin,0.014577857805979281
horan,0.014577857805979281
rxseboy,0.014577857805979281
niall,0.014577857805979281
rudimental,0.014577857805979274
boots,0.014577857805979269
bust,0.014577857805979269
khuda,0.014577857805979267
daughter,0.014577857805979267
